method,density_bin,n_trials,median_density,median_n_train,median_rmse,median_mae,median_within_0p50,median_class_accuracy,median_class_within_1,median_class_over_rate,median_class_under_rate,median_class_mae,median_train_nn_km,median_rmse_gmpe_raw,median_mae_gmpe_raw,median_class_accuracy_gmpe_raw,median_class_within_1_gmpe_raw,median_class_mae_gmpe_raw,median_class_over_rate_gmpe_raw,median_class_under_rate_gmpe_raw,class_accuracy_gain_points,rmse_reduction_fraction,class_mae_reduction_fraction,over_rate_reduction_points
gmpe_kriging,"[5.0, 10.0)",110,6.643208051197418,145.5,0.4166294116329669,0.3198652781450727,0.7898941402520816,0.6539766360273922,0.9874099090356224,0.1491174680462568,0.1895650539175349,0.3594630530578975,12.987497637987932,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.1987340276529766,0.4279866769499412,0.4021810625122523,0.32830188679245287
gmpe_kriging,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.3542787482230617,0.2698888481342044,0.8533333333333334,0.7034006539064097,0.9929161648601632,0.1224014336917562,0.1712928232058014,0.3049645390070922,4.3487995530631345,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.2481580455319941,0.5135913154503438,0.49281692477224903,0.35501792114695346
gmpe_raw,"[0.0, 5.0)",660,0.0,0.0,0.7283561323562148,0.6095377585600373,0.4498502658453703,0.4552426083744156,0.9424778761061948,0.4774193548387097,0.0615020912893253,0.6012908432919368,,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.0,0.0,0.0,0.0
idw,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5611927044265553,0.4494957866689805,0.6216216216216216,0.6081081081081081,0.9384615384615383,0.1756756756756756,0.2027027027027027,0.4642857142857143,37.61507329720594,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.1528654997336925,0.2295078197377013,0.22785168032187086,0.3017436791630341
idw,"[10.0, 20.0)",160,13.90778728841283,311.0,0.3867798569677642,0.2956456665544613,0.8177283421753359,0.6759008969303787,0.9911361574778405,0.1349072512647554,0.188184878052685,0.3331351565596512,8.588924919325557,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.2206582885559631,0.46896876433711,0.445966689371472,0.3425121035739543
idw,"[20.0, 30.0)",85,23.315309001848767,539.0,0.3729988155464501,0.2857813524103236,0.8357348703170029,0.6903073286052009,0.99247311827957,0.1323877068557919,0.175268817204301,0.3203050524308866,6.885194359260537,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.23506472023078534,0.4878895103967783,0.4673042904207788,0.34503164798291774
idw,"[30.0, 50.0)",170,39.68025828719168,884.5,0.3643490429390945,0.2738245825371805,0.8487883525503224,0.6951002061009615,0.994186046511628,0.1274579460788079,0.1722544857091731,0.3113997113997114,5.528499999999686,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.23985759772654586,0.49976525664658855,0.48211466235729517,0.3499614087599018
idw,"[5.0, 10.0)",110,6.643208051197418,145.5,0.4109068635156846,0.3161325386334572,0.7955626885707829,0.6564153863159058,0.9882123308604928,0.1504818383988139,0.1897044328290635,0.3550780371860642,12.987497637987932,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.2011727779414902,0.43584347647844923,0.4094737328077557,0.32693751643989577
idw,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.3496762437261985,0.2664258330320131,0.856,0.7028627525492431,0.9939964157706094,0.1224829522663457,0.1741935483870967,0.3089937106918239,4.3487995530631345,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.24762014417482753,0.519910345787844,0.4861160549191962,0.354936402572364
kriging,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5876690866745099,0.4602479689735171,0.6216216216216216,0.601889338731444,0.9361702127659576,0.1702127659574468,0.2142857142857142,0.4864864864864865,37.61507329720594,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.1466467303570284,0.1931569453895935,0.19092982719796858,0.30720658888126284
