station_region,method,density_bin_simple,n_trial_regions,n_predictions,median_class_accuracy,median_rmse,median_mae,median_class_mae,raw_class_accuracy,raw_rmse,raw_class_mae,accuracy_gain_points_vs_raw,rmse_reduction_fraction_vs_raw
Kanto,gmpe_calibrated,50-75,80,4773,0.68,0.41100742266429824,0.3311426145980103,0.3269779044903778,0.44642857142857145,0.6326493140508421,0.5653495440729484,0.2335714285714286,0.350339258201949
Kanto,gmpe_kriging,50-75,80,4773,0.7379862700228832,0.3016846219804956,0.23284116866677598,0.2631578947368421,0.44642857142857145,0.6326493140508421,0.5653495440729484,0.29155769859431174,0.5231408376169502
Kanto,gmpe_raw,0,557,117003,0.44642857142857145,0.6326493140508421,0.5392849979819032,0.5653495440729484,0.44642857142857145,0.6326493140508421,0.5653495440729484,0.0,0.0
Kanto,idw,50-75,80,4773,0.7491496598639455,0.29204732113101334,0.22447951025653334,0.2543103448275862,0.44642857142857145,0.6326493140508421,0.5653495440729484,0.3027210884353741,0.53837408079835
Kanto,kriging,50-75,80,4773,0.7379862700228832,0.301694439075493,0.23292139618875074,0.2631578947368421,0.44642857142857145,0.6326493140508421,0.5653495440729484,0.29155769859431174,0.5231253201813356
Kinki-Chugoku-Shikoku,gmpe_calibrated,50-75,77,1542,0.6666666666666666,0.36665087693534093,0.2945769226631013,0.3333333333333333,0.4635416666666667,0.7038377473525909,0.575,0.20312499999999994,0.4790690349949852
Kinki-Chugoku-Shikoku,gmpe_kriging,50-75,77,1542,0.7777777777777778,0.283145198516121,0.2228341913038701,0.2222222222222222,0.4635416666666667,0.7038377473525909,0.575,0.3142361111111111,0.5977123995109088
Kinki-Chugoku-Shikoku,gmpe_raw,0,507,62352,0.4635416666666667,0.7038377473525909,0.6125366993304961,0.575,0.4635416666666667,0.7038377473525909,0.575,0.0,0.0
Kinki-Chugoku-Shikoku,idw,50-75,77,1542,0.7727272727272727,0.2755053804689015,0.21669775447837933,0.22727272727272727,0.4635416666666667,0.7038377473525909,0.575,0.309185606060606,0.6085669154500664
Kinki-Chugoku-Shikoku,kriging,50-75,77,1542,0.782608695652174,0.28091030507005327,0.21674718062793388,0.21739130434782608,0.4635416666666667,0.7038377473525909,0.575,0.31906702898550726,0.600887695883509
Kyushu,gmpe_calibrated,50-75,19,932,0.5384615384615384,0.5580268631693773,0.4407967714252961,0.4827586206896552,0.4,0.8111535621133874,0.662374195677281,0.1384615384615384,0.31205768028005854
Kyushu,gmpe_kriging,50-75,19,932,0.6451612903225806,0.41179720537096653,0.32059627448113953,0.3793103448275862,0.4,0.8111535621133874,0.662374195677281,0.2451612903225806,0.49233138507329477
Kyushu,gmpe_raw,0,208,44188,0.4,0.8111535621133874,0.6978542851294163,0.662374195677281,0.4,0.8111535621133874,0.662374195677281,0.0,0.0
Kyushu,idw,50-75,19,932,0.640625,0.40350244961304704,0.31241384737914046,0.3684210526315789,0.4,0.8111535621133874,0.662374195677281,0.24062499999999998,0.5025572610915277
Kyushu,kriging,50-75,19,932,0.6451612903225806,0.4122942727165917,0.3197876112758997,0.3620689655172414,0.4,0.8111535621133874,0.662374195677281,0.2451612903225806,0.4917185943899498
Tohoku,gmpe_calibrated,50-75,75,3751,0.5384615384615384,0.5344845928118255,0.42312670934014385,0.48333333333333334,0.43617489776659324,0.7050750407977928,0.6777635691957943,0.1022866406949452,0.24194651365469433
Tohoku,gmpe_kriging,50-75,75,3751,0.6857142857142857,0.38347759386025904,0.2920555888779336,0.3269230769230769,0.43617489776659324,0.7050750407977928,0.6777635691957943,0.24953938794769248,0.45611804180962934
Tohoku,gmpe_raw,0,496,101118,0.43617489776659324,0.7050750407977928,0.5943577873099202,0.6777635691957943,0.43617489776659324,0.7050750407977928,0.6777635691957943,0.0,0.0
Tohoku,idw,50-75,75,3751,0.6756756756756757,0.3771394641286214,0.29614461528258956,0.3333333333333333,0.43617489776659324,0.7050750407977928,0.6777635691957943,0.23950077790908242,0.4651073399196093
Tohoku,kriging,50-75,75,3751,0.6909090909090909,0.38207358936350794,0.2895455192447711,0.3269230769230769,0.43617489776659324,0.7050750407977928,0.6777635691957943,0.2547341931424977,0.4581093255957671
