station_region,method,density_bin_simple,n_trial_regions,n_predictions,median_class_accuracy,median_rmse,median_mae,median_class_mae
Chubu-Hokuriku,idw,50-75,80,5860,0.7024590163934425,0.3613341320176384,0.27866341860348176,0.30444110705857114
Chubu-Hokuriku,kriging,0-5,40,595,0.7272727272727273,0.4361084206400676,0.3626330438145571,0.2727272727272727
Chubu-Hokuriku,kriging,10-20,134,47253,0.6760661013802067,0.4081441924023381,0.3115401436700443,0.3333333333333333
Chubu-Hokuriku,kriging,20-30,69,19844,0.6992031872509961,0.3926156919058194,0.29405719192343704,0.31189083820662766
Chubu-Hokuriku,kriging,30-50,148,26724,0.701063829787234,0.37661663366405385,0.28696290041103406,0.3057641971093661
Chubu-Hokuriku,kriging,5-10,89,37483,0.6641337386018237,0.4258534083354227,0.32792713721384154,0.3439153439153439
Chubu-Hokuriku,kriging,50-75,80,5860,0.7071078431372549,0.36274333406441256,0.28000124122200587,0.29754098360655734
Hokkaido,gmpe_calibrated,0-5,10,1626,0.5601038832550087,0.4681980572300586,0.3922050007752298,0.48812762799901066
Hokkaido,gmpe_calibrated,10-20,77,8546,0.4823529411764706,0.6247482543151236,0.5238711910934256,0.559322033898305
Hokkaido,gmpe_calibrated,20-30,40,3928,0.4902779887589245,0.6610043096019056,0.543873181569861,0.5832983193277311
Hokkaido,gmpe_calibrated,30-50,66,4103,0.5287508261731659,0.6177501715888271,0.4928316542293062,0.5
Hokkaido,gmpe_calibrated,5-10,54,8490,0.5039081055404413,0.6209333565030921,0.5154087177534521,0.553639846743295
Hokkaido,gmpe_calibrated,50-75,35,657,0.5,0.6456837687927411,0.5296427434317921,0.5428571428571428
Hokkaido,gmpe_kriging,0-5,10,1626,0.5903887113951012,0.4644401906053306,0.3692401393034185,0.42398828541001066
Hokkaido,gmpe_kriging,10-20,77,8546,0.6524064171122995,0.4022011196539669,0.3213274211220858,0.35294117647058826
Hokkaido,gmpe_kriging,20-30,40,3928,0.6410188502882068,0.4203296680340638,0.33871220724578843,0.36927952999381575
Hokkaido,gmpe_kriging,30-50,66,4103,0.6745786516853933,0.37964739770272704,0.30888140401703473,0.3254213483146068
Hokkaido,gmpe_kriging,5-10,54,8490,0.6413616293975217,0.43916638952309395,0.3488251728722894,0.3631368631368631
Hokkaido,gmpe_kriging,50-75,35,657,0.6944444444444444,0.37317779723521183,0.2993538113592469,0.3076923076923077
Hokkaido,gmpe_raw,0,282,27350,0.5329268292682927,0.6287329081444808,0.5010583890908142,0.5030932310697875
Hokkaido,idw,0-5,10,1626,0.5871938232161875,0.4732263765501941,0.3736183616467067,0.4223908413205538
Hokkaido,idw,10-20,77,8546,0.6666666666666666,0.39622885775177236,0.3103013272681035,0.33544303797468356
Hokkaido,idw,20-30,40,3928,0.6541161894273128,0.4099358217588709,0.325360154433994,0.36117229564366127
Hokkaido,idw,30-50,66,4103,0.6787918871252205,0.3747696698219449,0.30408809873813886,0.32120811287477957
Hokkaido,idw,5-10,54,8490,0.6352549889135255,0.4254307787411303,0.34268933371729743,0.3711134915403208
Hokkaido,idw,50-75,35,657,0.6666666666666666,0.36030317745976304,0.3040708663870563,0.3333333333333333
Hokkaido,kriging,0-5,10,1626,0.5839989350372737,0.4616693945519434,0.36860278279192416,0.42718317358892444
Hokkaido,kriging,10-20,77,8546,0.6486486486486487,0.41098963483984097,0.3218621874911268,0.3543307086614173
Hokkaido,kriging,20-30,40,3928,0.6375650780937124,0.4227441589889461,0.33906679991979505,0.3688586545729403
Hokkaido,kriging,30-50,66,4103,0.6734422880490296,0.38367012966515274,0.3079347681429163,0.3267144517628826
Hokkaido,kriging,5-10,54,8490,0.6394378568291612,0.43902809999980147,0.3449910400698166,0.3633363336333634
Hokkaido,kriging,50-75,35,657,0.6956521739130435,0.37214935076300076,0.3025169249228257,0.3055555555555556
Kanto,gmpe_calibrated,0-5,37,1375,0.5,0.5166089615481937,0.43031822691701127,0.5
Kanto,gmpe_calibrated,10-20,134,40705,0.6457617096179763,0.4259633978240143,0.33544978529378533,0.36090287730128984
Kanto,gmpe_calibrated,20-30,68,16954,0.688678389315332,0.40720315191648904,0.3214965362986515,0.3146724018074383
Kanto,gmpe_calibrated,30-50,144,21479,0.6667057634703526,0.4084050212914885,0.3322517510729964,0.33980037798251833
Kanto,gmpe_calibrated,5-10,94,31717,0.6686180783071056,0.42650409716293725,0.3352934647855882,0.3377781495733646
Kanto,gmpe_calibrated,50-75,80,4773,0.68,0.41100742266429824,0.3311426145980103,0.3269779044903778
Kanto,gmpe_kriging,0-5,37,1375,0.7777777777777778,0.35694480192262057,0.2917377111668919,0.2222222222222222
Kanto,gmpe_kriging,10-20,134,40705,0.7342050628108929,0.31446293435611794,0.2400530816009601,0.2686584515229017
Kanto,gmpe_kriging,20-30,68,16954,0.7406232712520745,0.3115448269295473,0.24020429242436236,0.26166511338925136
Kanto,gmpe_kriging,30-50,144,21479,0.7439044500459375,0.2967265620909331,0.22786950472090156,0.25729255168507503
Kanto,gmpe_kriging,5-10,94,31717,0.7232227879779959,0.32867456562632463,0.25128312486868043,0.27793695700154497
Kanto,gmpe_kriging,50-75,80,4773,0.7379862700228832,0.3016846219804956,0.23284116866677598,0.2631578947368421
Kanto,gmpe_raw,0,557,117003,0.44642857142857145,0.6326493140508421,0.5392849979819032,0.5653495440729484
Kanto,idw,0-5,37,1375,0.75,0.38597175302325853,0.33174975048871436,0.25
Kanto,idw,10-20,134,40705,0.7364311586543204,0.3106569383282123,0.23705766504165987,0.26584947022287175
Kanto,idw,20-30,68,16954,0.7474410984552973,0.3048954965161185,0.2352389654099308,0.25255890154470273
Kanto,idw,30-50,144,21479,0.75,0.2895907922101826,0.22494267462190654,0.25040192926045013
Kanto,idw,5-10,94,31717,0.7190484137810931,0.331223798461459,0.2552136826799042,0.2835850430597771
Kanto,idw,50-75,80,4773,0.7491496598639455,0.29204732113101334,0.22447951025653334,0.2543103448275862
Kanto,kriging,0-5,37,1375,0.7458333333333333,0.3750265918254865,0.3054171563950567,0.25416666666666665
Kanto,kriging,10-20,134,40705,0.7312892191696677,0.31474538763036913,0.241271534824267,0.269206884687361
Kanto,kriging,20-30,68,16954,0.7406232712520745,0.31573980625853054,0.24057921276326638,0.26166511338925136
Kanto,kriging,30-50,144,21479,0.7445871215671571,0.29626659697674573,0.22843392116677574,0.2577128753599342
Kanto,kriging,5-10,94,31717,0.7176543291448205,0.3315692650150291,0.25557193944393297,0.28355498947554725
Kanto,kriging,50-75,80,4773,0.7379862700228832,0.301694439075493,0.23292139618875074,0.2631578947368421
Kinki-Chugoku-Shikoku,gmpe_calibrated,0-5,35,1488,0.5151515151515151,0.6919981333030192,0.5633715354045946,0.6764705882352942
Kinki-Chugoku-Shikoku,gmpe_calibrated,10-20,120,20664,0.6577153558052435,0.3922606563642586,0.3053291495059558,0.3438327613495683
Kinki-Chugoku-Shikoku,gmpe_calibrated,20-30,60,9819,0.6335464830300048,0.41759953355973545,0.336826239307664,0.36974299065420557
Kinki-Chugoku-Shikoku,gmpe_calibrated,30-50,135,12150,0.6477272727272727,0.39729660720150695,0.3154325489644309,0.35714285714285715
Kinki-Chugoku-Shikoku,gmpe_calibrated,5-10,80,16689,0.6486409608091024,0.39882480461183134,0.32266867232458485,0.3532553729456384
Kinki-Chugoku-Shikoku,gmpe_calibrated,50-75,77,1542,0.6666666666666666,0.36665087693534093,0.2945769226631013,0.3333333333333333
Kinki-Chugoku-Shikoku,gmpe_kriging,0-5,35,1488,0.5,0.7303269690084051,0.583706230086765,0.6842105263157895
Kinki-Chugoku-Shikoku,gmpe_kriging,10-20,120,20664,0.7122793599376134,0.3664892868970139,0.2747654397294732,0.2928885630498534
Kinki-Chugoku-Shikoku,gmpe_kriging,20-30,60,9819,0.7216593742403723,0.3358499756734663,0.2530787906625148,0.28105846355800507
Kinki-Chugoku-Shikoku,gmpe_kriging,30-50,135,12150,0.7272727272727273,0.3315602435915537,0.24823726521476974,0.27380952380952384
Kinki-Chugoku-Shikoku,gmpe_kriging,5-10,80,16689,0.6822979659153381,0.3835362250943638,0.29116159322335533,0.3231932773109244
Kinki-Chugoku-Shikoku,gmpe_kriging,50-75,77,1542,0.7777777777777778,0.283145198516121,0.2228341913038701,0.2222222222222222
Kinki-Chugoku-Shikoku,gmpe_raw,0,507,62352,0.4635416666666667,0.7038377473525909,0.6125366993304961,0.575
Kinki-Chugoku-Shikoku,idw,0-5,35,1488,0.5588235294117647,0.7101369971538878,0.5428528031961147,0.6842105263157895
Kinki-Chugoku-Shikoku,idw,10-20,120,20664,0.7114285714285714,0.32865768848196464,0.2530601546957695,0.2885714285714286
Kinki-Chugoku-Shikoku,idw,20-30,60,9819,0.7197071719386157,0.31769866621971093,0.25112044993587096,0.2810992796742875
Kinki-Chugoku-Shikoku,idw,30-50,135,12150,0.7313432835820896,0.3161625389571098,0.24225115931245356,0.2702702702702703
Kinki-Chugoku-Shikoku,idw,5-10,80,16689,0.6778397768035074,0.3610305368290486,0.2746985294633636,0.32426470588235295
Kinki-Chugoku-Shikoku,idw,50-75,77,1542,0.7727272727272727,0.2755053804689015,0.21669775447837933,0.22727272727272727
Kinki-Chugoku-Shikoku,kriging,0-5,35,1488,0.5,0.7325163681843978,0.5654988505074656,0.7058823529411765
Kinki-Chugoku-Shikoku,kriging,10-20,120,20664,0.7149014778325123,0.3355451169433903,0.26321015678345494,0.28705189941144993
Kinki-Chugoku-Shikoku,kriging,20-30,60,9819,0.7202225926311768,0.3299819035198124,0.2559050890187655,0.28128798138695
Kinki-Chugoku-Shikoku,kriging,30-50,135,12150,0.7276119402985075,0.32869330194738217,0.2477413600563071,0.27419354838709675
Kinki-Chugoku-Shikoku,kriging,5-10,80,16689,0.6821471363527438,0.36368881134132364,0.28907667318189767,0.31925925925925924
Kinki-Chugoku-Shikoku,kriging,50-75,77,1542,0.782608695652174,0.28091030507005327,0.21674718062793388,0.21739130434782608
Kyushu,gmpe_calibrated,0-5,34,3143,0.5,0.5770876810400145,0.5088963977275114,0.5
Kyushu,gmpe_calibrated,10-20,45,14931,0.5838926174496645,0.5356892669172943,0.4262776369927008,0.44680851063829785
Kyushu,gmpe_calibrated,20-30,25,5999,0.5764705882352941,0.5344918955635094,0.4414563667587889,0.45110410094637227
Kyushu,gmpe_calibrated,30-50,55,7458,0.560126582278481,0.5496578445930991,0.43580211452788725,0.4981132075471698
Kyushu,gmpe_calibrated,5-10,30,11725,0.5691694547088784,0.5535129197727762,0.43370310169804005,0.46683539449717193
Kyushu,gmpe_calibrated,50-75,19,932,0.5384615384615384,0.5580268631693773,0.4407967714252961,0.4827586206896552
Kyushu,gmpe_kriging,0-5,34,3143,0.5,0.5917708538347808,0.4909184114813293,0.5
Kyushu,gmpe_kriging,10-20,45,14931,0.6372950819672131,0.4581916453677233,0.3596245452372905,0.38333333333333336
Kyushu,gmpe_kriging,20-30,25,5999,0.6501547987616099,0.43972846513024555,0.3432721339689555,0.36038961038961037
Kyushu,gmpe_kriging,30-50,55,7458,0.6413043478260869,0.43004504562169155,0.3369673524943928,0.3741935483870968
Kyushu,gmpe_kriging,5-10,30,11725,0.6152510285836396,0.47758444575718517,0.37295703976902606,0.405126968820315
Kyushu,gmpe_kriging,50-75,19,932,0.6451612903225806,0.41179720537096653,0.32059627448113953,0.3793103448275862
Kyushu,gmpe_raw,0,208,44188,0.4,0.8111535621133874,0.6978542851294163,0.662374195677281
Kyushu,idw,0-5,34,3143,0.5,0.5865637603326006,0.48886735098054723,0.5
Kyushu,idw,10-20,45,14931,0.638121546961326,0.43966342055822377,0.34708939387110405,0.3791469194312796
Kyushu,idw,20-30,25,5999,0.657051282051282,0.4238674858905703,0.33602899598800734,0.35646687697160884
Kyushu,idw,30-50,55,7458,0.6577540106951871,0.41370902547365035,0.32322181254581583,0.35294117647058826
Kyushu,idw,5-10,30,11725,0.6146171854677881,0.462651537701175,0.3675067521341353,0.3967216503514144
Kyushu,idw,50-75,19,932,0.640625,0.40350244961304704,0.31241384737914046,0.3684210526315789
Kyushu,kriging,0-5,34,3143,0.5,0.5901831385063656,0.4920133975849662,0.5
Kyushu,kriging,10-20,45,14931,0.6302325581395349,0.4569160117731862,0.3584116923875632,0.3855140186915888
Kyushu,kriging,20-30,25,5999,0.651685393258427,0.43941300050922893,0.34200164784363346,0.3622291021671827
Kyushu,kriging,30-50,55,7458,0.6461538461538462,0.4300752065774128,0.33656310214445084,0.37575757575757573
Kyushu,kriging,5-10,30,11725,0.6139438826378009,0.4764945979886107,0.3766316232945444,0.4031893573635861
Kyushu,kriging,50-75,19,932,0.6451612903225806,0.4122942727165917,0.3197876112758997,0.3620689655172414
Tohoku,gmpe_calibrated,0-5,26,2938,0.5059347181008902,0.5814118493741258,0.49382352087180337,0.5637982195845698
Tohoku,gmpe_calibrated,10-20,120,35616,0.5464159067882473,0.5452619408978079,0.4386015613646608,0.47931023548809876
Tohoku,gmpe_calibrated,20-30,65,13196,0.5414364640883977,0.5346934387373365,0.43807525643849066,0.4926829268292683
Tohoku,gmpe_calibrated,30-50,125,17451,0.5188679245283019,0.5595094300774732,0.44252453031111255,0.5070422535211268
Tohoku,gmpe_calibrated,5-10,85,28166,0.5540540540540541,0.5343991092744818,0.426187377629818,0.46382978723404256
Tohoku,gmpe_calibrated,50-75,75,3751,0.5384615384615384,0.5344845928118255,0.42312670934014385,0.48333333333333334
Tohoku,gmpe_kriging,0-5,26,2938,0.6160946011780859,0.486735383762973,0.3970350046882878,0.4032729527436999
Tohoku,gmpe_kriging,10-20,120,35616,0.6345345830639948,0.4174801146397866,0.32477966231774386,0.37731982425077054
Tohoku,gmpe_kriging,20-30,65,13196,0.6546762589928058,0.40176222405868134,0.31096582048349813,0.3507853403141361
Tohoku,gmpe_kriging,30-50,125,17451,0.6691729323308271,0.3854314544616213,0.29900983239435097,0.3333333333333333
Tohoku,gmpe_kriging,5-10,85,28166,0.6174242424242424,0.4472710450389777,0.3457645085885984,0.40669856459330145
Tohoku,gmpe_kriging,50-75,75,3751,0.6857142857142857,0.38347759386025904,0.2920555888779336,0.3269230769230769
Tohoku,gmpe_raw,0,496,101118,0.43617489776659324,0.7050750407977928,0.5943577873099202,0.6777635691957943
Tohoku,idw,0-5,26,2938,1.0,0.37491141016798113,0.30065483839418916,0.0
Tohoku,idw,10-20,120,35616,0.6435064935064936,0.4112386561793868,0.3221481959350361,0.37000768049155147
Tohoku,idw,20-30,65,13196,0.6666666666666666,0.38845623118240985,0.30341776372739626,0.3392857142857143
Tohoku,idw,30-50,125,17451,0.6728395061728395,0.37817123208332,0.29399041357750005,0.33668341708542715
Tohoku,idw,5-10,85,28166,0.6236162361623616,0.4404830058799154,0.3467111831867569,0.3940520446096654
Tohoku,idw,50-75,75,3751,0.6756756756756757,0.3771394641286214,0.29614461528258956,0.3333333333333333
Tohoku,kriging,0-5,26,2938,0.6775623084099693,0.4405068351686413,0.3780193386444889,0.3265193922431028
Tohoku,kriging,10-20,120,35616,0.6356519082414644,0.420431496252899,0.3258317308707802,0.37731982425077054
Tohoku,kriging,20-30,65,13196,0.6569037656903766,0.39886514832196424,0.3102923772695887,0.35294117647058826
Tohoku,kriging,30-50,125,17451,0.6717171717171717,0.38561575518330987,0.2994439840761592,0.3333333333333333
Tohoku,kriging,5-10,85,28166,0.6158415841584158,0.44809930427562894,0.3523898067072907,0.4040920716112532
Tohoku,kriging,50-75,75,3751,0.6909090909090909,0.38207358936350794,0.2895455192447711,0.3269230769230769
