event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i2004_001047,2004-10-23 17:56:00.30,2004,6.8,13.08,gmpe_calibrated,0.4722078095882048,0.36690181026211516,0.6158081958938884,0.9778044498584787,0.4067976133771215,28.66021988768788,1412
i2004_001047,2004-10-23 17:56:00.30,2004,6.8,13.08,gmpe_kriging,0.4034035870399465,0.3056171093663067,0.6551885031728257,0.9915014164305948,0.3537735849056603,28.66021988768788,1412
i2004_001047,2004-10-23 17:56:00.30,2004,6.8,13.08,gmpe_raw,0.7764248381656393,0.6655520155615908,0.39566329905377273,0.9463372286103379,0.6584410247915984,0.0,1412
i2004_001047,2004-10-23 17:56:00.30,2004,6.8,13.08,idw,0.3972952731299674,0.30104433522489027,0.6682396894306228,0.9895761820878272,0.34324012038264484,28.66021988768788,1412
i2004_001047,2004-10-23 17:56:00.30,2004,6.8,13.08,kriging,0.40296039343532103,0.30542649899397656,0.6589689481323047,0.9915014164305948,0.3507085020242915,28.66021988768788,1412
i2004_001057,2004-10-23 18:11:56.77,2004,6.0,11.52,gmpe_calibrated,0.5138818454542344,0.4058640282064996,0.5575691960082847,0.9770804384746024,0.47133842717644886,20.669636523077013,847
i2004_001057,2004-10-23 18:11:56.77,2004,6.0,11.52,gmpe_kriging,0.43227182865755653,0.32390249782481706,0.6459430822725305,0.989501312335958,0.3628318584070796,20.669636523077013,847
i2004_001057,2004-10-23 18:11:56.77,2004,6.0,11.52,gmpe_raw,0.6802300065317218,0.5743391252841392,0.48545842100812325,0.9697310707156546,0.5444679072960348,0.0,847
i2004_001057,2004-10-23 18:11:56.77,2004,6.0,11.52,idw,0.42087351208176416,0.3167102591588056,0.654407807398371,0.9888683032268026,0.3544373313249231,20.669636523077013,847
i2004_001057,2004-10-23 18:11:56.77,2004,6.0,11.52,kriging,0.4321439322821608,0.3234113699527318,0.6460176991150443,0.9901096257243875,0.3613569321533923,20.669636523077013,847
i2004_001073,2004-10-23 18:34:05.69,2004,6.5,14.17,gmpe_calibrated,0.49948827278852115,0.39173818724393417,0.5902524017360274,0.9773258945329715,0.4374915791235756,26.534584929496425,1323
i2004_001073,2004-10-23 18:34:05.69,2004,6.5,14.17,gmpe_kriging,0.39111544945580795,0.2943183072742328,0.6768934430782603,0.9878971255673222,0.3343419062027231,26.534584929496425,1323
i2004_001073,2004-10-23 18:34:05.69,2004,6.5,14.17,gmpe_raw,0.6268432626842994,0.5269708154595859,0.4732635610028656,0.9688090737240076,0.562053776252056,0.0,1323
i2004_001073,2004-10-23 18:34:05.69,2004,6.5,14.17,idw,0.38786923000040335,0.29401584451686,0.6810018903591682,0.9908434539937072,0.32800079207274,26.534584929496425,1323
i2004_001073,2004-10-23 18:34:05.69,2004,6.5,14.17,kriging,0.39110475047104654,0.29428794126871255,0.6760257557861864,0.9880090379456481,0.33367084886517206,26.534584929496425,1323
i2007_000280,2007-03-25 09:41:57.91,2007,6.9,10.7,gmpe_calibrated,0.5171834334129858,0.40953495501335246,0.5831258183549577,0.9830952664365353,0.4393732888941792,24.083196497496008,1549
i2007_000280,2007-03-25 09:41:57.91,2007,6.9,10.7,gmpe_kriging,0.37002377396759034,0.28326741460062954,0.6725675514819665,0.9950679320922251,0.3319515533865016,24.083196497496008,1549
i2007_000280,2007-03-25 09:41:57.91,2007,6.9,10.7,gmpe_raw,0.7414138618714845,0.6341547850360039,0.4361549497847919,0.9548387096774194,0.6076040172166427,0.0,1549
i2007_000280,2007-03-25 09:41:57.91,2007,6.9,10.7,idw,0.3631379326273106,0.27631684665968126,0.682157481252232,0.9945944960816475,0.322729436971789,24.083196497496008,1549
i2007_000280,2007-03-25 09:41:57.91,2007,6.9,10.7,kriging,0.3715625545377076,0.2832345721356899,0.6716450422568743,0.9935483870967742,0.33573205570765385,24.083196497496008,1549
i2007_001224,2007-07-16 10:13:22.55,2007,6.8,16.75,gmpe_calibrated,0.4951993031164824,0.38451304763746796,0.6532110072620249,0.9795459177653105,0.3762172021233831,31.821849638634145,1825
i2007_001224,2007-07-16 10:13:22.55,2007,6.8,16.75,gmpe_kriging,0.3723508051503573,0.28282143774986845,0.721266544282835,0.9934282584884996,0.28740472123155614,31.821849638634145,1825
i2007_001224,2007-07-16 10:13:22.55,2007,6.8,16.75,gmpe_raw,0.6719756886649937,0.566792847070985,0.4543275217932752,0.9616555082166768,0.5850224320829547,0.0,1825
i2007_001224,2007-07-16 10:13:22.55,2007,6.8,16.75,idw,0.36931214827780623,0.27991708816711175,0.7220565897104472,0.993366594247293,0.2839165903554606,31.821849638634145,1825
i2007_001224,2007-07-16 10:13:22.55,2007,6.8,16.75,kriging,0.37250764349843246,0.2828340183734172,0.7220496296391389,0.9931902451408825,0.28707522630021515,31.821849638634145,1825
i2008_000579,2008-06-14 08:43:45.36,2008,7.2,7.77,gmpe_calibrated,0.4976716059088767,0.3941621614554661,0.5913197737809257,0.9747062272128173,0.43417225196047554,22.650204825317413,1292
i2008_000579,2008-06-14 08:43:45.36,2008,7.2,7.77,gmpe_kriging,0.36564849039944536,0.2729182662579114,0.6973892799457616,0.9939810834049873,0.30899419729206956,22.650204825317413,1292
i2008_000579,2008-06-14 08:43:45.36,2008,7.2,7.77,gmpe_raw,0.6989119055553139,0.5799958580876855,0.4748549323017408,0.943745613734787,0.5842441074271238,0.0,1292
i2008_000579,2008-06-14 08:43:45.36,2008,7.2,7.77,idw,0.35901351292660644,0.2708618037527549,0.694172704350324,0.9922600619195048,0.31141199226305605,22.650204825317413,1292
i2008_000579,2008-06-14 08:43:45.36,2008,7.2,7.77,kriging,0.364529575364136,0.2714587042237071,0.6984912360546376,0.9935854406970055,0.30889449440666805,22.650204825317413,1292
i2011_000325,2011-03-11 14:46:18.12,2011,9.0,23.74,gmpe_calibrated,0.6564375249213621,0.544400840236783,0.40692958784827027,0.8938547776327156,0.7047297297297297,27.858834287358896,2775
i2011_000325,2011-03-11 14:46:18.12,2011,9.0,23.74,gmpe_kriging,0.3766235859295169,0.28519075813837824,0.6569292400995952,0.9801801801801802,0.3641276376737005,27.858834287358896,2775
i2011_000325,2011-03-11 14:46:18.12,2011,9.0,23.74,gmpe_raw,1.239524358187,1.0696043931723083,0.1659319703499795,0.6356003069461638,1.325953354314699,0.0,2775
i2011_000325,2011-03-11 14:46:18.12,2011,9.0,23.74,idw,0.36811416088831306,0.2793407802827209,0.6598044261451363,0.9819680385573687,0.3579516212043232,27.858834287358896,2775
i2011_000325,2011-03-11 14:46:18.12,2011,9.0,23.74,kriging,0.3760313890947715,0.2845917211842103,0.6564787896491447,0.9803568528874944,0.3641276376737005,27.858834287358896,2775
i2011_000358,2011-03-11 15:15:34.25,2011,7.6,42.7,gmpe_calibrated,0.5094484963062855,0.40830962648105135,0.5974191814760412,0.9793707178253139,0.4224037339556593,22.823458322088158,1904
i2011_000358,2011-03-11 15:15:34.25,2011,7.6,42.7,gmpe_kriging,0.3669099793971464,0.27204166083840875,0.7140944119984795,0.9962490622655664,0.29101471540293433,22.823458322088158,1904
i2011_000358,2011-03-11 15:15:34.25,2011,7.6,42.7,gmpe_raw,0.9093394306848765,0.7928962174142958,0.31543827013410086,0.8981008384072381,0.7882690900395852,0.0,1904
i2011_000358,2011-03-11 15:15:34.25,2011,7.6,42.7,idw,0.3600871950242549,0.26874902059114436,0.717005909389363,0.9963732176476694,0.288203683864948,22.823458322088158,1904
i2011_000358,2011-03-11 15:15:34.25,2011,7.6,42.7,kriging,0.36716963334474506,0.2723073702289348,0.7130346939456069,0.9963732176476694,0.29178055570568273,22.823458322088158,1904
